,city_name,lat,lon,temp,temp_min,temp_max,feels_like,pressure,humidity,dew_point,wind_speed,wind_deg,wind_gust,clouds_all,rain_1h,rain_3h,snow_1h,snow_3h,weather_id,weather_main,weather_description,weather_icon,visibility,dt,timezone,sea_level,grnd_level
0,,55.77320,37.58050,1.6100,,,-3.7200,1006.000,97.0000,1.1900,6.7000,275.0000,12.5800,100.0000,,,,,804,Clouds,overcast clouds,04n,105.000,2024-12-30 23:00:00+03:00,Europe/Moscow,,
1,,55.77320,37.58050,2.1800,,,-3.3600,1005.000,92.0000,1.0200,7.6300,258.0000,15.9700,100.0000,,,,,804,Clouds,overcast clouds,04n,10000.000,2024-12-30 22:00:00+03:00,Europe/Moscow,,
2,,55.77320,37.58050,0.9600,,,-4.8900,1005.000,66.0000,-4.1400,7.5200,248.0000,16.8100,100.0000,,,,,804,Clouds,overcast clouds,04n,10000.000,2024-12-30 21:00:00+03:00,Europe/Moscow,,
3,,55.77320,37.58050,1.6500,,,-4.0300,1005.000,93.0000,0.6400,7.6100,242.0000,16.3300,100.0000,,,,,804,Clouds,overcast clouds,04n,10000.000,2024-12-30 20:00:00+03:00,Europe/Moscow,,
4,,55.77320,37.58050,0.4500,,,-5.5000,1005.000,59.0000,-5.8800,7.3900,236.0000,16.2900,100.0000,,,,,804,Clouds,overcast clouds,04n,10000.000,2024-12-30 19:00:00+03:00,Europe/Moscow,,
5,,55.77320,37.58050,1.4300,,,-4.0100,1006.000,92.0000,0.2700,6.8300,238.0000,15.1800,100.0000,,,,,804,Clouds,overcast clouds,04n,10000.000,2024-12-30 18:00:00+03:00,Europe/Moscow,,
6,,55.77320,37.58050,1.3000,,,-4.1700,1007.000,92.0000,0.1500,6.8300,235.0000,15.1700,100.0000,,,,,804,Clouds,overcast clouds,04n,10000.000,2024-12-30 17:00:00+03:00,Europe/Moscow,,
7,,55.77320,37.58050,1.1800,,,-4.3000,1007.000,92.0000,0.0300,6.7700,229.0000,15.8700,100.0000,,,,,804,Clouds,overcast clouds,04d,10000.000,2024-12-30 16:00:00+03:00,Europe/Moscow,,
8,,55.77320,37.58050,0.2400,,,-5.4200,1007.000,77.0000,-2.9300,6.5700,221.0000,15.0000,100.0000,,,,,804,Clouds,overcast clouds,04d,10000.000,2024-12-30 15:00:00+03:00,Europe/Moscow,,
9,,55.77320,37.58050,1.0300,,,-4.2600,1008.000,96.0000,0.4600,6.2400,222.0000,14.9800,100.0000,,,,,804,Clouds,overcast clouds,04d,10000.000,2024-12-30 14:00:00+03:00,Europe/Moscow,,
